óÁï∂,-4.3,-3,-0.1,4.7,9.2,11.5,17.8,18.9,16.7,9.8,2.2,-3.6,45.305,141.045,2
ítì‡,-4.3,-3,-0.4,5.3,9.8,12,18.4,18.6,16.9,9.9,2.5,-3,45.415,141.6783,2
è@íJñ¶,-4.6,-3.3,-0.7,4.7,9.2,11.1,17.7,17.7,16.1,9.5,2.3,-2.8,45.52,141.935,2
è¿êÏ,-7.5,-5.1,-2.1,4.4,9.8,11.7,18.4,17.6,14.2,7.3,1,-5.1,45.2483,141.8517,18
ïlãSéuï ,-6.2,-4.7,-1.8,4.2,9.5,10.9,17.9,17.2,14.6,7.9,1.1,-4.6,45.335,142.17,18
ñLïx,-6.6,-4.7,-1.8,4.7,10.2,12.1,18.6,18.2,15,8,1.5,-4.5,45.1067,141.765,18
ïlì⁄ï ,-6.5,-5,-1.9,4.8,10.6,11.7,19,17.6,15.1,8.3,1.4,-4.8,45.125,142.35,18
íÜì⁄ï ,-8.7,-6.4,-2.8,4.6,11.5,12.8,19.9,17.9,13.9,7,1.2,-5.8,44.965,142.28,5
ñkå©é}çK,-5.7,-4.3,-1.2,5.1,10.9,11.5,19.3,17.9,15.8,8.9,2.1,-4,44.94,142.585,18
âÃìo,-9,-6.6,-2.5,4.3,11.3,12.5,19.8,17.7,13.9,7.1,1.3,-5.9,44.84,142.48,5
ìVâñ,-5,-3.7,-1.3,5.2,10.9,12.5,19.3,19.1,15.7,8.7,2.8,-2.3,44.8933,141.7617,13
âìï ,-6,-4,-1.2,5.5,11.8,13.2,20,19.5,15.5,8.9,3,-3.1,44.7183,141.8067,13
èâéRï ,-5.2,-3.2,-0.6,5.9,11.8,13.2,19.9,19.5,15.5,9.4,3.3,-2.5,44.5233,141.77,13
èƒêK,-3.4,-2.1,0.9,5.9,11.2,13.1,19.4,20.6,17.6,11.1,3.8,-2,44.4283,141.4217,13
âHñy,-5.3,-3,0,6.3,12.3,13.9,20.5,20.4,16.4,10,3.6,-2.3,44.3633,141.7,13
íBïz,-7.6,-5.2,-1.4,5.1,12.1,14.1,20.9,19.9,14.6,8.1,2.3,-4,44.0483,141.8567,6
óØñG,-5.3,-3,0.3,6.1,12,14,20.5,20.3,16.1,10.1,3.6,-2.2,43.945,141.6317,13
ëùñ—,-4,-2.2,0.6,7,12.4,14,20.6,20.3,16.4,10.6,4.2,-1.7,43.8483,141.51,13
ñyçf,-8.5,-5.4,-1.6,4.9,12,14.1,20.5,19.5,14.3,8,1.9,-4.3,43.8533,141.76,6
âπà–éqï{,-8.3,-6,-2.1,4.6,11.6,13.2,20.3,18.2,14.3,7.4,1.4,-5.2,44.7267,142.265,5
î¸ê[,-9.3,-6.5,-2.6,4.5,11.8,13.8,20.7,18.7,14.1,7.2,1.1,-5.8,44.48,142.3417,5
ñºäÒ,-8.9,-6.3,-2.7,4.7,12,13.9,20.7,18.6,14,7.1,1.2,-5.6,44.37,142.4567,5
éÈãfì‡,-10.3,-7.4,-3.9,2.7,10.1,12.3,19.2,17.6,12.5,5.8,-0.1,-6.4,44.2817,142.1617,5
émï ,-8.8,-6.2,-2.6,5.4,12.5,14.3,21.4,19.2,14.8,7.7,1.5,-5.5,44.1867,142.4167,6
í©ì˙,-8.5,-6.2,-2.7,4.8,12.4,14.2,21.4,19.1,14.2,7.3,1.2,-5.6,44.1183,142.595,5
òaä¶,-9,-6,-2.7,5.4,12.8,14.5,21.7,19.4,14.8,7.9,1.5,-5.3,44.0283,142.41,6
î‰ïz,-8.8,-6.1,-2.3,5.4,13.2,15.2,22.1,19.8,14.7,7.9,1.3,-5.4,43.875,142.48,6
éuî‰ì‡,-8.8,-6.5,-3,4.6,12.7,14.3,21.5,19.1,14.2,7.1,1,-5.8,43.6433,142.5817,5
